2025-12-12 03:00:55.657 INFO [c0bf86ba1b6e4bf3] Request started method=GET path=/api/users
2025-12-12 03:00:55.657 ERROR [c0bf86ba1b6e4bf3] Connection timeout poolSize=10 available=0 waiting=1
2025-12-12 03:00:55.707 ERROR [c0bf86ba1b6e4bf3] Connection timeout poolSize=10 available=0 waiting=2
2025-12-12 03:00:55.757 ERROR [c0bf86ba1b6e4bf3] Connection timeout poolSize=10 available=0 waiting=3
2025-12-12 03:00:55.807 ERROR [c0bf86ba1b6e4bf3] Connection timeout poolSize=10 available=0 waiting=4
2025-12-12 03:00:55.857 ERROR [c0bf86ba1b6e4bf3] Connection timeout poolSize=10 available=0 waiting=5
2025-12-12 03:00:55.907 ERROR [c0bf86ba1b6e4bf3] Connection timeout poolSize=10 available=0 waiting=6
2025-12-12 03:00:55.957 ERROR [c0bf86ba1b6e4bf3] Connection timeout poolSize=10 available=0 waiting=7
2025-12-12 03:00:56.007 ERROR [c0bf86ba1b6e4bf3] Connection timeout poolSize=10 available=0 waiting=8
2025-12-12 03:00:56.057 ERROR [c0bf86ba1b6e4bf3] Connection timeout poolSize=10 available=0 waiting=9
2025-12-12 03:00:56.107 ERROR [c0bf86ba1b6e4bf3] Connection timeout poolSize=10 available=0 waiting=10
2025-12-12 03:00:56.157 ERROR [c0bf86ba1b6e4bf3] Connection timeout poolSize=10 available=0 waiting=11
2025-12-12 03:00:56.207 ERROR [c0bf86ba1b6e4bf3] Connection timeout poolSize=10 available=0 waiting=12
2025-12-12 03:00:56.257 ERROR [c0bf86ba1b6e4bf3] Connection timeout poolSize=10 available=0 waiting=13
2025-12-12 03:00:56.307 ERROR [c0bf86ba1b6e4bf3] Connection timeout poolSize=10 available=0 waiting=14
2025-12-12 03:00:56.357 ERROR [c0bf86ba1b6e4bf3] Connection timeout poolSize=10 available=0 waiting=15
2025-12-12 03:00:56.407 ERROR [c0bf86ba1b6e4bf3] Connection timeout poolSize=10 available=0 waiting=16
2025-12-12 03:00:56.457 ERROR [c0bf86ba1b6e4bf3] Connection timeout poolSize=10 available=0 waiting=17
2025-12-12 03:00:56.507 ERROR [c0bf86ba1b6e4bf3] Connection timeout poolSize=10 available=0 waiting=18
2025-12-12 03:00:56.557 ERROR [c0bf86ba1b6e4bf3] Connection timeout poolSize=10 available=0 waiting=19
2025-12-12 03:00:56.607 ERROR [c0bf86ba1b6e4bf3] Connection timeout poolSize=10 available=0 waiting=20
2025-12-12 03:00:56.657 ERROR [c0bf86ba1b6e4bf3] Connection timeout poolSize=10 available=0 waiting=21
2025-12-12 03:00:56.707 ERROR [c0bf86ba1b6e4bf3] Connection timeout poolSize=10 available=0 waiting=22
2025-12-12 03:00:56.757 ERROR [c0bf86ba1b6e4bf3] Connection timeout poolSize=10 available=0 waiting=23
2025-12-12 03:00:56.807 ERROR [c0bf86ba1b6e4bf3] Connection timeout poolSize=10 available=0 waiting=24
2025-12-12 03:00:56.857 ERROR [c0bf86ba1b6e4bf3] Connection timeout poolSize=10 available=0 waiting=25
2025-12-12 03:00:56.907 ERROR [c0bf86ba1b6e4bf3] Connection timeout poolSize=10 available=0 waiting=26
2025-12-12 03:00:56.957 ERROR [c0bf86ba1b6e4bf3] Connection timeout poolSize=10 available=0 waiting=27
2025-12-12 03:00:57.007 ERROR [c0bf86ba1b6e4bf3] Connection timeout poolSize=10 available=0 waiting=28
2025-12-12 03:00:57.057 ERROR [c0bf86ba1b6e4bf3] Connection timeout poolSize=10 available=0 waiting=29
2025-12-12 03:00:57.107 ERROR [c0bf86ba1b6e4bf3] Connection timeout poolSize=10 available=0 waiting=30
2025-12-12 03:00:57.157 ERROR [c0bf86ba1b6e4bf3] Connection timeout poolSize=10 available=0 waiting=31
2025-12-12 03:00:57.207 ERROR [c0bf86ba1b6e4bf3] Connection timeout poolSize=10 available=0 waiting=32
2025-12-12 03:00:57.257 ERROR [c0bf86ba1b6e4bf3] Connection timeout poolSize=10 available=0 waiting=33
2025-12-12 03:00:57.307 ERROR [c0bf86ba1b6e4bf3] Connection timeout poolSize=10 available=0 waiting=34
2025-12-12 03:00:57.357 ERROR [c0bf86ba1b6e4bf3] Connection timeout poolSize=10 available=0 waiting=35
2025-12-12 03:00:57.407 ERROR [c0bf86ba1b6e4bf3] Connection timeout poolSize=10 available=0 waiting=36
2025-12-12 03:00:57.457 ERROR [c0bf86ba1b6e4bf3] Connection timeout poolSize=10 available=0 waiting=37
2025-12-12 03:00:57.507 ERROR [c0bf86ba1b6e4bf3] Connection timeout poolSize=10 available=0 waiting=38
2025-12-12 03:00:57.557 ERROR [c0bf86ba1b6e4bf3] Connection timeout poolSize=10 available=0 waiting=39
2025-12-12 03:00:57.607 ERROR [c0bf86ba1b6e4bf3] Connection timeout poolSize=10 available=0 waiting=40
2025-12-12 03:00:57.657 ERROR [c0bf86ba1b6e4bf3] Connection timeout poolSize=10 available=0 waiting=41
2025-12-12 03:00:57.707 ERROR [c0bf86ba1b6e4bf3] Connection timeout poolSize=10 available=0 waiting=42
2025-12-12 03:00:57.757 ERROR [c0bf86ba1b6e4bf3] Connection timeout poolSize=10 available=0 waiting=43
2025-12-12 03:00:57.807 ERROR [c0bf86ba1b6e4bf3] Connection timeout poolSize=10 available=0 waiting=44
2025-12-12 03:00:57.857 ERROR [c0bf86ba1b6e4bf3] Connection timeout poolSize=10 available=0 waiting=45
2025-12-12 03:00:57.907 ERROR [c0bf86ba1b6e4bf3] Connection timeout poolSize=10 available=0 waiting=46
2025-12-12 03:00:57.957 ERROR [c0bf86ba1b6e4bf3] Connection timeout poolSize=10 available=0 waiting=47
2025-12-12 03:00:58.007 ERROR [c0bf86ba1b6e4bf3] Connection timeout poolSize=10 available=0 waiting=48
2025-12-12 03:00:58.057 ERROR [c0bf86ba1b6e4bf3] Connection timeout poolSize=10 available=0 waiting=49
2025-12-12 03:00:58.107 ERROR [c0bf86ba1b6e4bf3] Connection timeout poolSize=10 available=0 waiting=50
2025-12-12 03:00:58.157 ERROR [c0bf86ba1b6e4bf3] Connection timeout poolSize=10 available=0 waiting=51
2025-12-12 03:00:58.207 ERROR [c0bf86ba1b6e4bf3] Connection timeout poolSize=10 available=0 waiting=52
2025-12-12 03:00:58.257 ERROR [c0bf86ba1b6e4bf3] Connection timeout poolSize=10 available=0 waiting=53
2025-12-12 03:00:58.307 ERROR [c0bf86ba1b6e4bf3] Connection timeout poolSize=10 available=0 waiting=54
2025-12-12 03:00:58.357 ERROR [c0bf86ba1b6e4bf3] Connection timeout poolSize=10 available=0 waiting=55
2025-12-12 03:00:58.407 ERROR [c0bf86ba1b6e4bf3] Connection timeout poolSize=10 available=0 waiting=56
2025-12-12 03:00:58.457 ERROR [c0bf86ba1b6e4bf3] Connection timeout poolSize=10 available=0 waiting=57
2025-12-12 03:00:58.507 ERROR [c0bf86ba1b6e4bf3] Connection timeout poolSize=10 available=0 waiting=58
2025-12-12 03:00:58.557 ERROR [c0bf86ba1b6e4bf3] Connection timeout poolSize=10 available=0 waiting=59
2025-12-12 03:00:58.607 ERROR [c0bf86ba1b6e4bf3] Connection timeout poolSize=10 available=0 waiting=60
2025-12-12 03:00:58.657 ERROR [c0bf86ba1b6e4bf3] Connection timeout poolSize=10 available=0 waiting=61
2025-12-12 03:00:58.707 ERROR [c0bf86ba1b6e4bf3] Connection timeout poolSize=10 available=0 waiting=62
2025-12-12 03:00:58.757 ERROR [c0bf86ba1b6e4bf3] Connection timeout poolSize=10 available=0 waiting=63
2025-12-12 03:00:58.807 ERROR [c0bf86ba1b6e4bf3] Connection timeout poolSize=10 available=0 waiting=64
2025-12-12 03:00:58.857 ERROR [c0bf86ba1b6e4bf3] Connection timeout poolSize=10 available=0 waiting=65
2025-12-12 03:00:58.907 ERROR [c0bf86ba1b6e4bf3] Connection timeout poolSize=10 available=0 waiting=66
2025-12-12 03:00:58.957 ERROR [c0bf86ba1b6e4bf3] Connection timeout poolSize=10 available=0 waiting=67
2025-12-12 03:00:59.007 ERROR [c0bf86ba1b6e4bf3] Connection timeout poolSize=10 available=0 waiting=68
2025-12-12 03:00:59.057 ERROR [c0bf86ba1b6e4bf3] Connection timeout poolSize=10 available=0 waiting=69
2025-12-12 03:00:59.107 ERROR [c0bf86ba1b6e4bf3] Connection timeout poolSize=10 available=0 waiting=70
2025-12-12 03:00:59.157 ERROR [c0bf86ba1b6e4bf3] Connection timeout poolSize=10 available=0 waiting=71
2025-12-12 03:00:59.207 ERROR [c0bf86ba1b6e4bf3] Connection timeout poolSize=10 available=0 waiting=72
2025-12-12 03:00:59.257 ERROR [c0bf86ba1b6e4bf3] Connection timeout poolSize=10 available=0 waiting=73
2025-12-12 03:00:59.307 ERROR [c0bf86ba1b6e4bf3] Connection timeout poolSize=10 available=0 waiting=74
2025-12-12 03:00:59.357 ERROR [c0bf86ba1b6e4bf3] Connection timeout poolSize=10 available=0 waiting=75
2025-12-12 03:00:59.407 ERROR [c0bf86ba1b6e4bf3] Connection timeout poolSize=10 available=0 waiting=76
2025-12-12 03:00:59.457 ERROR [c0bf86ba1b6e4bf3] Connection timeout poolSize=10 available=0 waiting=77
2025-12-12 03:00:59.507 ERROR [c0bf86ba1b6e4bf3] Connection timeout poolSize=10 available=0 waiting=78
2025-12-12 03:00:59.557 ERROR [c0bf86ba1b6e4bf3] Connection timeout poolSize=10 available=0 waiting=79
2025-12-12 03:00:59.607 ERROR [c0bf86ba1b6e4bf3] Connection timeout poolSize=10 available=0 waiting=80
2025-12-12 03:00:59.657 ERROR [c0bf86ba1b6e4bf3] Connection timeout poolSize=10 available=0 waiting=81
2025-12-12 03:00:59.707 ERROR [c0bf86ba1b6e4bf3] Connection timeout poolSize=10 available=0 waiting=82
2025-12-12 03:00:59.757 ERROR [c0bf86ba1b6e4bf3] Connection timeout poolSize=10 available=0 waiting=83
2025-12-12 03:00:59.807 ERROR [c0bf86ba1b6e4bf3] Connection timeout poolSize=10 available=0 waiting=84
2025-12-12 03:00:59.857 ERROR [c0bf86ba1b6e4bf3] Connection timeout poolSize=10 available=0 waiting=85
2025-12-12 03:00:59.907 ERROR [c0bf86ba1b6e4bf3] Connection timeout poolSize=10 available=0 waiting=86
2025-12-12 03:00:59.957 ERROR [c0bf86ba1b6e4bf3] Connection timeout poolSize=10 available=0 waiting=87
2025-12-12 03:01:00.007 ERROR [c0bf86ba1b6e4bf3] Connection timeout poolSize=10 available=0 waiting=88
2025-12-12 03:01:00.057 ERROR [c0bf86ba1b6e4bf3] Connection timeout poolSize=10 available=0 waiting=89
2025-12-12 03:01:00.107 ERROR [c0bf86ba1b6e4bf3] Connection timeout poolSize=10 available=0 waiting=90
2025-12-12 03:01:00.157 ERROR [c0bf86ba1b6e4bf3] Connection timeout poolSize=10 available=0 waiting=91
2025-12-12 03:01:00.207 ERROR [c0bf86ba1b6e4bf3] Connection timeout poolSize=10 available=0 waiting=92
2025-12-12 03:01:00.257 ERROR [c0bf86ba1b6e4bf3] Connection timeout poolSize=10 available=0 waiting=93
2025-12-12 03:01:00.307 ERROR [c0bf86ba1b6e4bf3] Connection timeout poolSize=10 available=0 waiting=94
2025-12-12 03:01:00.357 ERROR [c0bf86ba1b6e4bf3] Connection timeout poolSize=10 available=0 waiting=95
2025-12-12 03:01:00.407 ERROR [c0bf86ba1b6e4bf3] Connection timeout poolSize=10 available=0 waiting=96
2025-12-12 03:01:00.457 ERROR [c0bf86ba1b6e4bf3] Connection timeout poolSize=10 available=0 waiting=97
2025-12-12 03:01:00.507 ERROR [c0bf86ba1b6e4bf3] Connection timeout poolSize=10 available=0 waiting=98
2025-12-12 03:01:00.557 ERROR [c0bf86ba1b6e4bf3] Connection timeout poolSize=10 available=0 waiting=99
2025-12-12 03:01:00.607 ERROR [c0bf86ba1b6e4bf3] Connection timeout poolSize=10 available=0 waiting=100
2025-12-12 03:01:00.657 FATAL [c0bf86ba1b6e4bf3] Unhandled rejection: Pool exhausted 
